Rank (Overall rank based on Gridiron AI predicted points.),Name,Team,Pos.,Bye,Injury,Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-G Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-G Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-G Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-G Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-G Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
1,Jahmyr Gibbs,DET,RB,6,,2,1,249.2,189.4,299.4,23.4,12.3,137.3,1.3,0.3,24.0,27.3,83.0,76.0,44.4,50.1,29173,,1214154
2,Josh Allen,BUF,QB,7,,15,1,226.8,175.7,242.1,38.2,5.2,337.0,4.5,1.0,45.0,40.0,100.0,67.0,60.8,60.5,5005,62239,868199
3,Christian McCaffrey,SF,RB,8,,5,2,208.8,133.9,249.0,13.5,11.9,70.3,0.7,0.0,14.0,15.7,52.0,64.3,51.9,47.9,4669,55050,830517
4,Bijan Robinson,ATL,RB,11,,7,3,203.3,160.3,270.1,14.2,21.5,99.0,0.3,0.7,20.0,23.0,51.0,70.7,57.1,52.8,29169,,1228244
5,Kenneth Walker III,KC,RB,5,,8,4,199.9,161.6,240.0,22.9,17.3,167.3,0.7,0.0,34.0,27.7,82.0,64.0,51.5,60.7,28645,103342,1164402
6,Trevor Lawrence,JAX,QB,7,,36,2,199.7,141.1,242.9,18.5,19.9,236.3,2.3,0.3,31.0,29.3,100.0,90.0,52.5,55.5,28006,89951,1110711
7,Tyler Shough,NO,QB,8,,38,3,199.2,95.4,261.3,22.4,1.4,328.7,2.3,2.0,43.0,47.0,100.0,100.0,63.2,61.9,30336,,1110306
8,Jalen Hurts,PHI,QB,10,,39,4,198.0,156.7,225.9,20.4,8.6,264.5,2.5,1.0,42.0,37.0,100.0,100.0,55.3,56.8,27496,69531,913271
9,Brock Purdy,SF,QB,8,,40,5,197.9,97.2,258.1,18.3,23.3,233.0,2.0,0.7,25.0,31.0,85.0,95.0,56.8,61.9,28863,85607,1121761
10,Patrick Mahomes,KC,QB,5,,42,6,196.3,137.8,214.3,25.3,7.3,303.0,3.0,0.5,49.0,41.5,100.0,100.0,61.3,55.3,4951,57439,839031
11,Caleb Williams,CHI,QB,10,D,44,7,195.3,126.2,235.2,20.5,29.5,242.3,2.0,1.0,31.0,34.7,86.0,95.3,48.4,54.1,29989,,1286445
12,Derrick Henry,BAL,RB,13,,10,5,193.7,146.8,210.0,21.2,22.2,125.3,1.3,0.0,19.0,21.7,53.0,59.3,61.3,62.4,4232,39280,732145
13,Bo Nix,DEN,QB,10,,48,8,192.0,128.9,225.6,10.0,8.7,205.7,0.7,1.7,36.0,32.7,100.0,100.0,58.1,57.1,29884,,1161899
14,Amon-Ra St. Brown,DET,WR,6,,1,1,191.6,121.9,218.6,24.6,11.3,116.0,1.3,0.0,13.0,14.0,95.0,93.3,21.0,21.0,28117,86997,1127106
15,Lamar Jackson,BAL,QB,13,,50,9,190.5,120.3,218.7,20.1,10.2,293.3,2.0,1.0,35.0,29.7,100.0,100.0,60.3,50.2,5029,63115,877745
16,Justin Herbert,LAC,QB,7,,51,10,190.4,114.7,239.6,10.6,5.4,216.0,1.0,3.0,30.0,31.0,100.0,100.0,44.1,51.2,27449,69189,910562
17,Jared Goff,DET,QB,6,,53,11,188.9,148.5,229.1,20.5,14.5,291.0,2.3,1.3,41.0,41.3,100.0,100.0,63.1,57.9,4460,38435,727837
18,Bryce Young,CAR,QB,5,,57,12,186.8,90.4,200.9,24.1,14.8,309.7,3.0,1.0,37.0,37.7,94.0,94.7,59.7,65.4,29162,,1213257
19,Dak Prescott,DAL,QB,14,,59,13,186.7,142.9,216.8,15.0,29.0,187.7,2.0,0.7,35.0,28.0,100.0,83.7,63.6,57.4,4246,31716,591816
20,Chase Brown,CIN,RB,6,,12,6,186.1,137.5,228.2,14.3,7.3,83.3,0.7,0.0,25.0,22.0,70.0,66.0,59.5,52.4,29324,,1123379
21,Jonathan Taylor,IND,RB,13,,14,7,179.9,137.7,240.6,18.6,22.3,97.3,1.3,0.3,28.0,22.3,94.0,78.3,45.9,47.0,27484,89675,1065406
22,Drake Maye,NE,QB,11,,71,14,176.9,96.6,226.3,11.2,7.7,227.3,0.7,1.3,26.0,29.7,100.0,92.0,47.3,51.6,29991,,1286803
23,Joe Burrow,CIN,QB,6,Q,74,15,176.6,94.3,263.0,17.2,7.0,244.3,2.0,0.7,32.0,37.7,100.0,99.7,53.3,59.0,27444,63336,878785
24,Jaxon Smith-Njigba,SEA,WR,11,,3,2,174.7,128.2,195.8,23.9,26.6,120.3,1.3,0.0,11.0,10.0,67.0,80.0,23.4,20.6,29181,,1214087
25,De'Von Achane,MIA,RB,6,,17,8,172.2,125.2,200.1,9.7,2.2,79.5,0.0,0.0,26.0,21.0,76.0,81.0,57.8,45.5,29245,,1231820
26,Matthew Stafford,LA,QB,11,,81,16,170.8,121.0,225.0,19.3,22.9,247.3,2.7,0.7,35.0,34.3,,90.0,,54.9,566,6654,323205
27,C.J. Stroud,HOU,QB,8,,83,17,169.0,83.9,205.0,16.9,0.8,281.7,1.3,0.7,58.0,41.0,100.0,88.3,72.5,60.0,29163,,1214084
28,D'Andre Swift,CHI,RB,10,,20,9,168.9,121.0,197.0,15.9,26.6,93.7,1.0,0.3,21.0,17.3,68.0,61.0,42.0,41.2,27478,91598,1069808
29,James Cook,BUF,RB,7,,21,10,168.7,138.6,193.6,10.1,18.9,74.3,0.3,0.3,24.0,14.3,74.0,49.7,43.6,61.4,28666,91626,1131012
30,Ja'Marr Chase,CIN,WR,6,,4,3,167.7,124.4,206.1,14.9,20.8,61.0,1.0,0.0,9.0,7.7,88.0,94.0,17.0,12.8,28010,85701,1109979
31,Daniel Jones,IND,QB,13,,89,18,165.7,90.9,190.7,10.2,2.4,195.0,1.0,1.0,34.0,33.0,100.0,100.0,52.3,55.8,27086,63519,879981
32,Ashton Jeanty,LVR,RB,13,,23,11,165.5,117.5,194.1,16.3,21.4,101.3,0.7,0.0,28.0,29.3,81.0,84.0,54.9,54.9,30302,,1379646
33,Baker Mayfield,TB,QB,10,,95,19,164.0,98.0,190.1,12.3,1.6,230.3,1.0,2.0,38.0,32.3,100.0,100.0,58.5,51.7,4999,41535,748070
34,Jacoby Brissett,ARI,QB,14,,96,20,163.5,104.2,217.8,12.9,10.0,218.3,1.3,1.0,29.0,35.3,100.0,100.0,58.0,59.0,4295,30231,607047
35,Jordan Love,GB,QB,11,,100,21,161.8,110.4,204.7,16.6,5.7,266.0,2.0,2.0,29.0,36.0,100.0,100.0,49.2,56.2,27469,69017,912137
36,Jaxson Dart,NYG,QB,8,D,101,22,160.5,113.7,219.4,15.9,25.8,188.7,1.7,0.7,5.0,27.3,,100.0,,53.6,30321,,1286260
37,Javonte Williams,DAL,RB,14,,29,12,157.7,111.2,187.4,14.1,15.2,61.0,1.0,0.0,16.0,16.5,80.0,75.5,36.4,39.0,28040,93541,1107881
38,Chris Olave,NO,WR,8,Q,6,4,156.1,137.8,193.5,20.9,4.6,134.0,0.5,0.0,10.0,11.5,84.0,85.0,17.5,17.2,28615,87770,1122592
39,Breece Hall,NYJ,RB,13,,31,13,156.0,118.7,184.9,15.2,7.1,105.0,0.5,0.0,21.0,22.5,65.0,61.5,43.8,52.6,28640,103064,1162537
40,Deshaun Watson,CLE,QB,11,,108,23,155.9,77.1,204.5,16.9,5.7,251.5,1.5,1.0,37.0,32.5,100.0,100.0,63.8,59.3,4625,54879,828743
41,Bucky Irving,TB,RB,10,,32,14,155.5,109.2,187.4,12.7,6.5,93.7,0.3,0.3,21.0,21.3,78.0,67.3,41.2,50.3,29791,,1287923
42,Kyren Williams,LA,RB,11,,35,15,151.9,95.9,200.2,12.8,5.1,81.0,0.7,0.3,14.0,15.0,,63.5,,36.0,28766,104433,1167361
43,Parker Washington,JAX,WR,7,,9,5,149.1,119.0,171.9,15.8,3.9,89.3,0.7,0.0,12.0,9.0,81.0,72.0,25.0,20.7,29346,,1229074
44,Cam Ward,TEN,QB,9,,122,24,148.4,69.3,233.8,13.6,10.8,138.0,1.3,0.0,24.0,21.7,100.0,69.7,45.3,72.4,30297,,1228691
45,Jaylen Warren,PIT,RB,9,,47,16,144.3,109.5,186.1,9.6,4.6,83.0,0.0,0.3,15.0,16.7,71.0,48.3,30.0,54.0,28972,112057,1176443
46,Justin Jefferson,MIN,WR,6,,11,6,142.3,123.1,171.0,15.5,18.2,83.7,0.7,0.0,6.0,9.0,100.0,89.3,11.5,16.7,27465,85671,1069535
47,Trey McBride,ARI,TE,14,,16,1,141.5,113.8,172.1,14.7,10.0,67.0,0.7,0.0,10.0,10.3,88.0,87.7,22.7,19.9,28659,91750,1108161
48,Travis Etienne,NO,RB,8,,56,17,139.4,105.0,182.9,6.6,7.2,49.0,0.0,0.0,10.0,14.3,54.0,56.3,27.0,35.0,28030,89956,978577
49,Aaron Rodgers,PIT,QB,9,,145,25,138.6,69.1,152.1,11.5,13.8,241.3,0.7,1.0,40.0,43.7,96.0,98.7,59.7,62.6,862,6894,213957
50,Geno Smith,NYJ,QB,13,,146,26,138.3,62.3,194.7,12.4,6.3,243.0,0.5,1.0,46.0,38.0,100.0,100.0,62.2,53.5,3052,26483,513856
51,Cam Skattebo,NYG,RB,8,,60,18,138.0,69.0,192.1,10.8,6.6,68.0,0.5,1.0,16.0,17.0,,61.0,,42.9,30400,,1280316
52,CeeDee Lamb,DAL,WR,14,,13,7,137.5,110.7,184.4,15.0,30.4,67.0,1.0,0.0,9.0,6.3,75.0,67.0,22.0,15.0,27460,86631,1062020
53,Tony Pollard,TEN,RB,9,,61,19,137.5,85.6,172.1,6.3,4.0,54.7,0.0,0.0,15.0,13.7,55.0,56.7,51.7,45.4,27039,63759,880398
54,Omarion Hampton,LAC,RB,7,,62,20,137.4,85.2,151.8,12.4,8.2,79.0,1.0,1.0,25.0,18.5,63.0,60.5,58.1,47.8,30318,,1398572
55,Aaron Jones,MIN,RB,6,,65,21,134.6,99.3,162.6,10.2,0.5,72.5,0.5,0.0,23.0,18.0,81.0,63.5,54.8,49.0,4769,40442,741314
56,Puka Nacua,LA,WR,11,O,18,8,130.8,74.1,150.5,15.4,11.1,87.0,0.5,0.0,,11.0,,69.5,,22.9,29338,,1162128
57,Rashee Rice,KC,WR,5,,19,9,130.0,95.0,159.1,9.6,1.4,51.0,0.5,0.0,6.0,4.0,79.0,81.0,9.5,6.5,29216,,1173538
58,Rhamondre Stevenson,NE,RB,11,,76,22,127.6,85.4,168.7,16.5,31.2,98.0,1.0,0.3,8.0,13.7,36.0,56.0,40.0,37.4,28125,111540,1174682
59,DeVonta Smith,PHI,WR,10,,22,10,127.2,90.2,166.1,12.1,16.0,74.0,0.3,0.0,13.0,7.7,88.0,65.7,19.4,25.1,28015,90576,1060262
60,Woody Marks,HOU,RB,8,,78,23,125.9,69.5,167.3,5.5,1.3,41.0,0.0,0.0,14.0,12.3,48.0,48.3,36.8,34.6,30411,,1231652
61,Jameson Williams,DET,WR,6,,24,11,124.2,92.0,161.2,7.1,6.1,50.7,0.0,0.0,4.0,7.0,97.0,92.0,6.3,10.6,28616,111631,1175184
62,Wan'Dale Robinson,TEN,WR,9,,25,12,124.0,70.2,137.5,3.8,4.9,23.5,0.0,0.0,1.0,3.5,53.0,67.5,3.6,9.1,28647,103539,1164875
63,Drake London,ATL,WR,11,,26,13,122.4,78.3,137.0,9.1,11.3,54.0,0.3,0.0,6.0,6.3,62.0,84.7,14.0,12.0,28612,112745,1178741
64,Jalen Coker,CAR,WR,5,,27,14,122.4,86.5,164.1,18.0,19.2,83.7,1.0,0.0,9.0,8.3,76.0,84.0,18.0,16.2,29928,,1218753
65,Malik Willis,MIA,QB,6,,175,27,121.7,64.5,222.0,14.6,4.2,231.0,1.0,1.0,25.0,29.0,100.0,100.0,42.4,50.6,28689,87691,976323
66,Kyle Monangai,CHI,RB,10,,86,24,121.2,88.9,151.8,9.9,16.0,70.3,0.3,0.0,12.0,10.3,34.0,39.7,48.0,38.6,30527,,1250886
